category,title,pricing_unit,price
phone,"Belkin MagSafe-Compatible Charger, 3-in-1 Wireless Charging Station, Qi2-Certified 15W Wireless Charger for Apple iPhone 16 Series, Apple Watch, AirPods w/Non-Slip Base, 40W Charger Included - White",₱,6719.44
phone,Other items to consider,₱,618.24
phone,"Compatible with iPhone 13 Pro Max Case Translucent Magnetic 13 Pro Max Phone Case 6.7"" [Compatible with Mag-Safe][Great Grip Feeling][Full Camera Protection], Pink",₱,618.24
phone,"Dreem Fibonacci Wallet Case for iPhone 16 Pro Max | 2-in-1 Detachable Vegan Leather Cover with Built-in Kick-Stand, RFID Blocking Card Holder, MagSafe Compatible [Slate]",₱,2799.44
phone,"SUPFINE Magnetic for iPhone 14 Case & iPhone 13 Case (Compatible with MagSafe) (Dual Layer Structure Protection) (12 FT Military Grade Drop Protection) Heavy Duty Shockproof Phone Case, Black",₱,559.44
phone,"Crave Dual Guard for Samsung Galaxy S22 Ultra, Forest Green, Cellular Phone Case, Shockproof Protection, Dual Layer, TPU/PC",₱,951.4399999999999
compound microscope,"1-16 of 916 results for ""compound microscope""",₱,0.0
compound microscope,"PalliPartners Compound Microscope for Adults & Kids - 100X-2000X High-Power Biological Microscope for Students, School Lab & Home Education, with Slides Set & Phone Adapter (White)",₱,5235.44
compound microscope,"AmScope M150 Series Portable LED Monocular Student Compound Microscope - 40X-1000X Magnification - Microscope Kit Includes Dust Cover, 2 Clips & 2 Eyepieces",₱,5991.44
compound microscope,"Professional Compound Microscopes for Adults, Kids 8-12 & Students | 2000X Magnification Lab & Home Microscope with Phone Adapter, Complete Slides Set (Gray White)",₱,4585.84
compound microscope,"7"" LCD Digital Microscope 1200X,Leipan 12MP Coin Microscope with Screen for Adults,1080P Video Microscope with 12pcs Slides,Wired Remote,2 Side Lights,Windows/Mac OS Compatible",₱,3863.4399999999996
compound microscope,Recently bought and rated,₱,3759.84
compound microscope,Microscope for Kids，40X-2000X Compound Microscope Mobile Phone Adapter with Microscope Slide Microscope kit for Home School Laboratories for Children Students,₱,3759.84
compound microscope,"SWIFT Compound Monocular Microscope SW200DL with 40X-1000X Magnification, Dual Light, Precision Fine Focus, Wide-Field 25X Eyepiece and Cordless Capability for Student Beginner",₱,5039.44
compound microscope,"Microscope for Adults Kids Students, 100X-2000X Microscopes, Metal-Body Dual LED Illumination, Biological Compound Monocular Microscope Kit for School Lab, Homeschool w/Phone Adapter",₱,3880.2400000000002
compound microscope,"HSL Microscope for Kids,40X-2000X monocular Microscopes for Adults Students Beginner with LAD Set,Dual LED Phone Adapter Powerful Biological Microscopes for School Boys Girls Home Education Laboratory",₱,4423.44
compound microscope,AmScope B120C Series Student & Professional LED Binocular Compound Microscope - 40X-2500X Magnification - Features Siedentopf Head & 3D Mechanical Stage,₱,15679.44
compound microscope,"Compound Binocular Microscope for Kids & Students, 40X-2000X Magnification, Microscope Kit with Slides & Specimens, Lab Equipment for School Biology Class & Home Science Experiments",₱,6915.44
compound microscope,"Microscope for Adults Kids, 100X-2000X BEBANG Compound Microscope with Microscope Slides, Microscope Kit for Kids Students Home School Lab",₱,3863.4399999999996
compound microscope,"Compound Microscope，40X-2500X Research Class Professional Microscope，WF10x and WF25x eyepieces, Dual LED Lighting and Two-Layer Mechanical Stage，Microscope for Adults…",₱,8399.44
compound microscope,"Microscope 40X-2500X Binocular Microscope WF10x and WF25x Eyepieces, Dual LED Illumination, Adult Microscope for School Home Lab Education (Binocular Microscope)",₱,6551.44
compound microscope,"Binocular Compound Microscope 40X-2000X, Research Grade Professional Microscope with Dual Mechanical Stages and Coaxial Coarse/Fine Focus Knobs, Built-in Electronic Eyepieces, Adult Microscope",₱,7139.44
compound microscope,"Compound Trinocular Microscope 40X-5000X Magnification, Research Grade Professional Microscope, Two Levels of Mechanical Stage LED Illumination, USB Video Camera with Microscope for Adults",₱,12375.44
compound microscope,"Microscope for Adults Kids,40X-2000X Monocular Microscope Kit for Home School Lab, 2 LED Lights & 5 Colors Kids Microscope with Phone Holder,10 Specimen Slides,20 Slides,100 Coverslips, Bag",₱,3863.4399999999996
compound microscope,40X-2000X Monocular Microscope for Adults & Kids - Wozel Compound Microscopes for Kids with Dual LED Lights - Professional Biological Microscope with Phone Adapter Slide Set for School Home Education,₱,5039.44
compound microscope,"SWIFT SW380B 40X-2500X Magnification, Siedentopf Head, Research-Grade Binocular Compound Lab Microscope with Wide-Field 10X and 25X Eyepieces, Mechanical Stage, Ultra-Precise Focusing",₱,13999.44
compound microscope,"Swift SW350T Compound Trinocular Microscope,40X-2500X Magnification,Two-Layer Mechanical Stage,with 5.0 mp Camera and Software Windows/Mac Compatible and 5 PCS Prepared Slides and 5 PCS Blank Slides",₱,19599.440000000002
compound microscope,"Microscope for Kids Beginners Children Student, 40X- 1000X Compound Microscopes with 52 pcs Educational Kits",₱,3331.44
