Category,web-scraper-start-url,name,price
"compound microscope 1000x","compound microscope 1000x","HSL Trinocular Compound Microscope for Adults Professional,9 inch LCD Digital Microscope kit,Electron microscopes Light,Biological Microscope LAB with Screen 400x 1000x Micro Scope","799"
"test tubes 10ml","test tubes 10ml","16x100mm Glass Test Tubes with Black Screw Cap, 10ml Boro Glass Test Tubes for Scientific Experiments, Candy Storage, Party and Home Decorations, Plant Propagation and Holiday Gifts, HUAOU, Pack of 10","11"
"dissecting kit","dissecting kit","Dissection Kit for Biology Lab & Anatomy - Stainless Steel Scalpel Knife Set for Medical & Veterinary Students, KIT1357-4 Pcs","8"
"microscope slides 50","microscope slides 50","Clear Plain Glass Plate, Large Blank Microscope Slides, 50 x 75 mm 2"" x 3""","29"
"compound microscope 1000x","compound microscope 1000x","AmScope SM-4TPX Professional Trinocular Stereo Zoom Microscope with Simultaneous Focus Control, WH10x Eyepieces, 3.5X-45X Magnification, 0.7X-4.5X Zoom Objective, Ambient Lighting, Double-Arm Boom Stand, Includes 0.5X Barlow Lens","591"
"test tubes 10ml","test tubes 10ml","20 Piece 10 ml Self Standing Leakproof Graduated Cryovials with Plastic Screw Top Vials, Needle Storage Container, Centrifuge Tubes Laboratory Test Tubes","8"
"test tubes 10ml","test tubes 10ml","10ml Glass Round Bottom Test Tubes, Thickness 1.0, 16x100mm, Pack of 20, IN-TTG10","13"
"test tubes 10ml","test tubes 10ml","15ml Conical Centrifuge Tubes, 100Pcs Polypropylene Test Tubes with Polyethylene Flat Top Caps, 12000 RCF, Plastic Container with Graduated & Write Area, Rack Package, Non-Pyrogenic, DNase/RNase Free","22"
"test tubes 10ml","test tubes 10ml","Vacutainer Blood Collection Tubes 10ml Lab Vacuum Plain Tube for Pet Animals Veterinary Lab Supplies 100 Pcs Wrap Packaging","39"
"test tubes 10ml","test tubes 10ml","Z-Color 10pcs 10ml Lab Plastic Frozen Test Tubes Vial Seal Cap Container for Laboratory School Educational","7"
"compound microscope 1000x","compound microscope 1000x","Microscope for Adults Kids,40X-2000X Monocular Microscope Kit for Home School Lab, 2 LED Lights & 5 Colors Kids Microscope with Phone Holder,10 Specimen Slides,20 Slides,100 Coverslips, Bag","68"
"compound microscope 1000x","compound microscope 1000x","PalliPartners Compound Microscope for Adults & Kids - 100X-2000X High-Power Biological Microscope for Students, School Lab & Home Education, with Slides Set & Phone Adapter (White)","71"
"refracting telescope 70mm","refracting telescope 70mm","Telescope for Kids, 70mm Aperture 400mm Refractor Telescope for Astronomy Beginners, High Powered Refracting Telescope with Tripod, Multi-Coated","49"
"test tubes 10ml","test tubes 10ml","Xuhal 500 Pcs Test Tubes 10 ml Clear Plastic Test Tubes with Caps 16 x 100 mm Small Propagation Tubes for Scientific Experiments Plant Propagation Powder Spices Candy Storage","37"
"test tubes 10ml","test tubes 10ml","96 Pcs Nursing Party Supply, 8 Dram Empty Pill Bottles Push Down and Turn Pill Cases, 4oz Specimen Cups Urine Sample Jars 15 ml Test Tubes Sticky Label (Graduation)","32"
"compound microscope 1000x","compound microscope 1000x","AmScope M150C-E-A 40X-1000X LED Cordless All-Metal Framework Full-Glass Optical Lens Student Compound Microscope with Coarse & Fine Focusing + Digital Camera USB Imager","144"
"compound microscope 1000x","compound microscope 1000x","AmScope SM-4TPZ Professional Trinocular Stereo Zoom Microscope with Simultaneous Focus Control, WH10x Eyepieces, 3.5X-90X Magnification, 0.7X-4.5X Zoom Objective, Ambient Lighting, Double-Arm Boom Stand, Includes 0.5X and 2.0X Barlow Lens","636"
"compound microscope 1000x","compound microscope 1000x","Compound Microscope EXC-100 - Binocular Head, 40-1000X Magnification, Mechanical Stage, Achromat Objectives, Cordless LED Illumination","595"
"test tubes 10ml","test tubes 10ml","PATIKIL 10ml Test Tubes, 10pcs 3.94x0.63in Glass Clear Round Bottom Test Tube Containers with Plastic Cap for Bead Party Candy Bath Salt Storage Scientific Experiment Plant Propagation","9"
"refracting telescope 70mm","refracting telescope 70mm","Telescope 80mm Aperture 600mm - Astronomical Portable Refracting Telescopes Fully Multi-Coated High Transmission Coatings AZ Mount with Tripod Phone Adapter, Wireless Control, Carrying Bag.","109"
"compound microscope 1000x","compound microscope 1000x","SWIFT Compound Monocular Microscope SW200DL with 40X-1000X Magnification, Dual Light, Precision Fine Focus, Wide-Field 25X Eyepiece and Cordless Capability for Student Beginner","89"
"refracting telescope 70mm","refracting telescope 70mm","300mm Refractor Telescope for Astronomy Beginners, Multi-Coated High Powered Refracting Telescope with Tripod 70mm Aperture","59"
"test tubes 10ml","test tubes 10ml","Eowpower 30 Pieces 10 ml Lab Plastic Graduated Sample Vial Storage Bottles Bottle Tubes with Seal Cap Container","9"
"refracting telescope 70mm","refracting telescope 70mm","SpectrumOI Telescope for Kids, Telescope for Adults Astronomy Gifts, Telescope for Kids 8-12 - Premium Refractor Telescope 70mm Aperture with Carry Bag and Phone Holder","89"
"refracting telescope 70mm","refracting telescope 70mm","Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote.","86"
"refracting telescope 70mm","refracting telescope 70mm","FREE SOLDIER Telescope 70mm Aperture 500mm Refractor Telescope for Adults High Powered - Professional Astronomical Refracting Telescope for Adults Beginners with Phone Adapter and Carry Bag White","119"
"refracting telescope 70mm","refracting telescope 70mm","Astronomical Telescope for Beginners, Junnom 70mm Aperture 300mm(F/5.7) Focal Length Kids Refracting Telescopes Educational Toys for Sky Star Gazing","42"
"test tubes 10ml","test tubes 10ml","HNYYZL 25Pcs Clear Plastic Test Tubes with Cork Stoppers, 15x100mm 10ml, Good Seal for Jewelry Seed Beads Powder Spice Liquid Storage, Lab Use or Decoration","8"
"compound microscope 1000x","compound microscope 1000x","Microscope for Adults Kids, 100X-2000X BEBANG Compound Microscope with Microscope Slides, Microscope Kit for Kids Students Home School Lab","69"
"refracting telescope 70mm","refracting telescope 70mm","Celestron - AstroMaster 70AZ Telescope - Refractor Telescope - Fully Coated Glass Optics - Adjustable Height Tripod – Bonus Astronomy Software Package","138"
"refracting telescope 70mm","refracting telescope 70mm","Telescope for Kids Beginners Adults, 70mm Astronomy Refractor Telescope with Adjustable Tripod - Perfect Telescope Gift for Kids","60"
"compound microscope 1000x","compound microscope 1000x","AmScope M158 Series 360-Degree Rotating Monocular Head Compound Microscope - 40X-1000X Magnification - Includes LED Light and USB 2.0 Digital Camera","146"
"test tubes 10ml","test tubes 10ml","Kanayu 100 Pcs 10ml Plastic Test Tubes with Lids Vial Seal Cap Container Small Storage Tubes with Cap Clear Test Lab Tubes with Silicone Sealing Ring for Science Experiments Sample Water Liquid","16"
"refracting telescope 70mm","refracting telescope 70mm","Telescope, 70mm Aperture - Astronomical Portable Refracting Telescope for Kids & Adults with Phone Holder & Finder Scope","79"
"test tubes 10ml","test tubes 10ml","Honbay 12pcs 10ml Plastic Test Tubes Screw Cap Vial White Seal Cap Container","7"
"compound microscope 1000x","compound microscope 1000x","AmScope M150 Series Portable LED Monocular Student Compound Microscope - 40X-1000X Magnification - Microscope Kit Includes Dust Cover, 2 Clips & 2 Eyepieces","106"
"test tubes 10ml","test tubes 10ml","Kesell Centrifuge Tubes Round Bottom Screw Cap Plastic Test Tube Vials 10ml with Graduation and Writing Area, Pack of 20","6"
"test tubes 10ml","test tubes 10ml","Flutesan 200 Pcs Clear Plastic Test Tubes 16 x 100 mm(10 ml) Test Tubes with Caps for Scientific Experiments,Halloween, Christmas, Scientific Themed Birthday Party Supplies, Candy Storage","23"
"refracting telescope 70mm","refracting telescope 70mm","Astronomical Refracting Telescope,MLABINYA 70mm Travel Telescope(15X-150X) Portable Telescope with Multilayer Broadband Coating Adjustable Tripod And Finderscope, Telescope for Adults & Kids &Beginner","48"
